epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2469.19,1.0186,0.82333,0.01677,0.85006,0.81905,0.87226,0.61663,1.19412,0.89409,0.03211,0.0015974,0.0015974,0.0015974
63,2507.7,1.02518,0.82053,0.01674,0.81912,0.72381,0.81301,0.48536,1.19859,0.99317,0.03078,0.0015908,0.0015908,0.0015908
64,2547.68,1.02083,0.83018,0.01662,0.8787,0.84762,0.91721,0.61621,1.1575,0.73122,0.02919,0.0015842,0.0015842,0.0015842
65,2586.33,1.00193,0.81048,0.01643,0.79902,0.79516,0.86253,0.60673,1.01631,0.80316,0.02623,0.0015776,0.0015776,0.0015776
66,2625.48,1.02501,0.76928,0.01723,0.79516,0.81334,0.85962,0.57713,1.09619,0.96405,0.02655,0.001571,0.001571,0.001571
67,2663.84,0.97035,0.74506,0.01646,0.83914,0.78095,0.86024,0.60762,1.09372,0.72847,0.02707,0.0015644,0.0015644,0.0015644
68,2703.29,0.96349,0.8059,0.01602,0.82578,0.72381,0.8168,0.5493,1.25361,0.97743,0.03215,0.0015578,0.0015578,0.0015578
69,2741.82,0.98858,0.78091,0.01617,0.87849,0.77143,0.90229,0.62203,1.06304,0.77308,0.02706,0.0015512,0.0015512,0.0015512
70,2781.44,1.00682,0.72742,0.01583,0.74398,0.78095,0.84698,0.56583,1.18376,0.82523,0.02953,0.0015446,0.0015446,0.0015446
71,2819.9,0.95789,0.74759,0.01622,0.91841,0.81905,0.92146,0.6442,1.04337,0.53289,0.02639,0.001538,0.001538,0.001538
72,2860.64,0.98156,0.79523,0.01628,0.89629,0.8381,0.90942,0.64193,1.01852,0.72036,0.02534,0.0015314,0.0015314,0.0015314
73,2899.25,0.949,0.73595,0.01576,0.81884,0.86096,0.87065,0.59802,1.15668,0.7007,0.03072,0.0015248,0.0015248,0.0015248
74,2939.26,0.98047,0.73044,0.01658,0.95554,0.81866,0.94108,0.64052,1.02682,0.61675,0.02646,0.0015182,0.0015182,0.0015182
75,2977.89,1.00819,0.82512,0.01711,0.87774,0.82048,0.9075,0.65217,0.99401,0.59256,0.02551,0.0015116,0.0015116,0.0015116
76,3018.8,0.98005,0.75579,0.01598,0.86541,0.7961,0.89561,0.63036,0.97679,0.58794,0.02478,0.001505,0.001505,0.001505
77,3057.44,0.96083,0.72805,0.01578,0.83044,0.88627,0.91989,0.65194,1.01124,0.6246,0.02562,0.0014984,0.0014984,0.0014984
78,3096.74,0.95859,0.73031,0.01572,0.85038,0.82857,0.89206,0.64729,0.98477,0.64846,0.02523,0.0014918,0.0014918,0.0014918
79,3135.51,0.97954,0.70839,0.01604,0.90269,0.8381,0.91526,0.61826,1.15318,0.6756,0.02975,0.0014852,0.0014852,0.0014852
80,3174.46,0.93603,0.71184,0.01574,0.85574,0.88571,0.9143,0.65321,0.97842,0.74128,0.02461,0.0014786,0.0014786,0.0014786
81,3214.78,0.94737,0.70634,0.01532,0.88085,0.77454,0.90985,0.65193,1.08265,0.61939,0.02702,0.001472,0.001472,0.001472
82,3254.3,0.92735,0.68669,0.01567,0.85687,0.85528,0.90727,0.65326,1.08749,0.55444,0.02752,0.0014654,0.0014654,0.0014654
83,3293.77,0.95439,0.72227,0.01561,0.85105,0.84762,0.86842,0.59184,1.13344,0.66784,0.02977,0.0014588,0.0014588,0.0014588
84,3333.49,0.95387,0.73727,0.01549,0.89307,0.8381,0.91193,0.65455,1.02629,0.58724,0.02608,0.0014522,0.0014522,0.0014522
85,3372.77,0.95348,0.71632,0.01563,0.91338,0.80339,0.91976,0.62804,1.12111,0.67053,0.02949,0.0014456,0.0014456,0.0014456
86,3412.92,0.93993,0.68831,0.01519,0.9163,0.79048,0.91491,0.63277,0.98245,0.67433,0.02377,0.001439,0.001439,0.001439
87,3451.24,0.91929,0.67318,0.01473,0.888,0.83061,0.91856,0.63842,1.12977,0.54917,0.02894,0.0014324,0.0014324,0.0014324
88,3491.2,0.92583,0.71598,0.01565,0.83123,0.79048,0.88917,0.61824,1.12082,0.59477,0.03048,0.0014258,0.0014258,0.0014258
89,3529.75,0.94037,0.70517,0.01564,0.79386,0.80689,0.86535,0.61706,1.2089,0.65266,0.03205,0.0014192,0.0014192,0.0014192
90,3568.78,0.92515,0.64575,0.01473,0.86434,0.84762,0.9,0.62434,1.09103,0.72702,0.02838,0.0014126,0.0014126,0.0014126
91,3607.56,0.93115,0.68182,0.01521,0.89838,0.84197,0.94174,0.6489,0.98519,0.64397,0.02546,0.001406,0.001406,0.001406
92,3647.2,0.89208,0.64356,0.0142,0.78233,0.84762,0.89913,0.64188,1.02405,0.7513,0.02492,0.0013994,0.0013994,0.0013994
93,3685.62,0.9143,0.66843,0.01503,0.92112,0.81905,0.92846,0.65128,1.03957,0.52092,0.02711,0.0013928,0.0013928,0.0013928
94,3724.94,0.89321,0.64944,0.0144,0.88072,0.86667,0.906,0.62951,1.06207,0.57237,0.02743,0.0013862,0.0013862,0.0013862
95,3763.12,0.88728,0.66079,0.01452,0.83991,0.79048,0.85668,0.65808,0.94177,0.57067,0.0237,0.0013796,0.0013796,0.0013796
96,3804.38,0.86555,0.68706,0.01441,0.94363,0.79721,0.89605,0.64153,1.01037,0.68365,0.02606,0.001373,0.001373,0.001373
97,3842.51,0.91303,0.72101,0.01416,0.82926,0.80952,0.85876,0.62534,0.96785,0.71807,0.02396,0.0013664,0.0013664,0.0013664
98,3882.2,0.86623,0.67832,0.01413,0.91089,0.8,0.88909,0.66754,1.05905,0.7139,0.02709,0.0013598,0.0013598,0.0013598
99,3921.57,0.882,0.66223,0.01416,0.89792,0.83775,0.92273,0.64045,1.00421,0.67769,0.02517,0.0013532,0.0013532,0.0013532
100,3961.37,0.90913,0.64226,0.01495,0.89843,0.7582,0.89939,0.62142,1.17672,0.666,0.03134,0.0013466,0.0013466,0.0013466
101,3999.99,0.87544,0.63321,0.01445,0.84758,0.84738,0.92004,0.63561,1.10423,0.58264,0.02907,0.00134,0.00134,0.00134
102,4039.39,0.86598,0.64331,0.01445,0.80623,0.8381,0.89395,0.64346,0.99328,0.57763,0.02591,0.0013334,0.0013334,0.0013334
103,4077.97,0.89737,0.65075,0.01497,0.87035,0.8381,0.89591,0.65792,1.08326,0.63121,0.02847,0.0013268,0.0013268,0.0013268
104,4117.26,0.87061,0.64868,0.01429,0.89165,0.84762,0.92153,0.63895,1.03959,0.70503,0.02718,0.0013202,0.0013202,0.0013202
105,4155.97,0.87579,0.63776,0.01412,0.83419,0.82857,0.8929,0.64587,1.04596,0.63749,0.02776,0.0013136,0.0013136,0.0013136
106,4195.63,0.8726,0.62411,0.01447,0.85522,0.84387,0.87615,0.61302,1.06428,0.74503,0.02705,0.001307,0.001307,0.001307
107,4234.21,0.88566,0.63295,0.01474,0.84626,0.80952,0.897,0.62678,1.0039,0.60063,0.02579,0.0013004,0.0013004,0.0013004
108,4274.06,0.85571,0.61198,0.01393,0.87411,0.85965,0.91563,0.67841,0.96484,0.63486,0.02407,0.0012938,0.0012938,0.0012938
109,4313.56,0.85643,0.6088,0.01421,0.79493,0.75238,0.80118,0.54333,1.23888,0.88821,0.03271,0.0012872,0.0012872,0.0012872
110,4353.24,0.86105,0.60363,0.01393,0.86488,0.91439,0.94885,0.66582,1.12352,0.51793,0.02956,0.0012806,0.0012806,0.0012806
111,4391.88,0.87261,0.59831,0.01378,0.85932,0.84762,0.91617,0.66435,1.0083,0.77066,0.02553,0.001274,0.001274,0.001274
112,4431.46,0.85546,0.58379,0.01408,0.88945,0.82857,0.92516,0.64599,1.05868,0.50992,0.02651,0.0012674,0.0012674,0.0012674
113,4469.92,0.88553,0.59573,0.0145,0.88427,0.87322,0.93709,0.65669,1.09718,0.57631,0.02833,0.0012608,0.0012608,0.0012608
114,4509.43,0.83747,0.60679,0.01335,0.90458,0.81263,0.91868,0.65422,1.02309,0.50999,0.02708,0.0012542,0.0012542,0.0012542
115,4548.39,0.91294,0.69044,0.01492,0.9085,0.86667,0.93325,0.66871,1.01739,0.49181,0.0256,0.0012476,0.0012476,0.0012476
116,4587.93,0.83273,0.60378,0.01359,0.87792,0.88571,0.9315,0.65455,1.05462,0.46321,0.02689,0.001241,0.001241,0.001241
117,4626.28,0.84859,0.60029,0.01389,0.90701,0.86667,0.92454,0.67393,1.08107,0.54902,0.02661,0.0012344,0.0012344,0.0012344
118,4666.3,0.86026,0.62007,0.01471,0.8907,0.85372,0.89006,0.64488,1.0561,0.58062,0.0271,0.0012278,0.0012278,0.0012278
119,4704.6,0.84914,0.64165,0.01428,0.85773,0.82857,0.90569,0.64129,1.05385,0.74031,0.02726,0.0012212,0.0012212,0.0012212
120,4743.68,0.80678,0.58173,0.01333,0.86953,0.87619,0.90461,0.646,1.12178,0.595,0.0288,0.0012146,0.0012146,0.0012146
121,4782.28,0.8433,0.59471,0.01357,0.82335,0.80952,0.88484,0.64008,1.01693,0.73755,0.02586,0.001208,0.001208,0.001208
122,4821.77,0.84586,0.62956,0.0143,0.86469,0.79118,0.89452,0.66161,1.06526,0.59497,0.02676,0.0012014,0.0012014,0.0012014
123,4860.94,0.816,0.55115,0.01367,0.88532,0.80879,0.87293,0.64668,0.95547,0.68453,0.02306,0.0011948,0.0011948,0.0011948
124,4900.43,0.81282,0.57123,0.01291,0.85282,0.88299,0.92294,0.67333,1.00264,0.54876,0.02621,0.0011882,0.0011882,0.0011882
125,4939.06,0.8222,0.56308,0.0133,0.83168,0.81905,0.90037,0.68055,0.99318,0.63146,0.02589,0.0011816,0.0011816,0.0011816
126,4979.67,0.83608,0.56704,0.01395,0.83761,0.83516,0.87461,0.63519,1.02414,0.64694,0.02525,0.001175,0.001175,0.001175
127,5018.15,0.81446,0.56206,0.01279,0.92307,0.84762,0.92429,0.68838,0.91693,0.57459,0.02328,0.0011684,0.0011684,0.0011684
128,5059.18,0.83863,0.60904,0.01417,0.87101,0.78095,0.8492,0.61767,1.06359,0.78499,0.02722,0.0011618,0.0011618,0.0011618
129,5097.63,0.82301,0.6005,0.01337,0.84591,0.86667,0.89854,0.64147,1.0065,0.52509,0.02492,0.0011552,0.0011552,0.0011552
130,5136.98,0.81145,0.57942,0.01294,0.87672,0.8805,0.93499,0.68692,1.0521,0.52093,0.0277,0.0011486,0.0011486,0.0011486
131,5176.01,0.83698,0.58624,0.01329,0.90417,0.80872,0.8913,0.64549,1.04102,0.67055,0.02745,0.001142,0.001142,0.001142
132,5215.92,0.84228,0.58635,0.0139,0.9044,0.79048,0.90271,0.66956,0.9492,0.65516,0.02475,0.0011354,0.0011354,0.0011354
133,5254.68,0.81971,0.53188,0.01284,0.93619,0.79048,0.90102,0.65998,1.00542,0.57135,0.02606,0.0011288,0.0011288,0.0011288
134,5294.27,0.80639,0.56527,0.01315,0.94881,0.85714,0.9451,0.69834,0.92272,0.48557,0.02335,0.0011222,0.0011222,0.0011222
135,5334.65,0.81576,0.57283,0.01299,0.80482,0.86401,0.88205,0.65329,1.0079,0.61648,0.02633,0.0011156,0.0011156,0.0011156
136,5374.28,0.75207,0.54447,0.01201,0.85856,0.86714,0.91421,0.68076,0.96802,0.53308,0.02492,0.001109,0.001109,0.001109
137,5412.81,0.81698,0.56903,0.01312,0.87592,0.87399,0.91231,0.65763,0.97692,0.57749,0.02559,0.0011024,0.0011024,0.0011024
138,5452.58,0.77675,0.52295,0.0126,0.86371,0.845,0.91147,0.65342,0.97208,0.65272,0.02403,0.0010958,0.0010958,0.0010958
139,5490.98,0.77373,0.52679,0.01303,0.8929,0.85714,0.92872,0.6921,0.99,0.48238,0.0253,0.0010892,0.0010892,0.0010892
140,5530.44,0.75717,0.52977,0.01195,0.84099,0.88571,0.90971,0.65851,1.01859,0.64009,0.02729,0.0010826,0.0010826,0.0010826
141,5569.21,0.80873,0.58163,0.01294,0.90763,0.84224,0.91747,0.67602,0.96061,0.53712,0.02585,0.001076,0.001076,0.001076
142,5608.54,0.80214,0.53359,0.01311,0.87838,0.85714,0.93639,0.70649,0.9381,0.50603,0.02366,0.0010694,0.0010694,0.0010694
143,5648.01,0.79723,0.53199,0.01248,0.89048,0.85183,0.92812,0.69583,0.98779,0.4898,0.02633,0.0010628,0.0010628,0.0010628
144,5687.77,0.7602,0.53288,0.01262,0.92966,0.81905,0.90958,0.68726,0.96534,0.69603,0.02402,0.0010562,0.0010562,0.0010562
145,5726.51,0.79962,0.55093,0.01326,0.91625,0.83358,0.90976,0.66166,1.02379,0.69433,0.02614,0.0010496,0.0010496,0.0010496
146,5766.39,0.77943,0.52219,0.0126,0.92089,0.86667,0.93936,0.71569,0.89344,0.55003,0.02336,0.001043,0.001043,0.001043
147,5806.71,0.78338,0.5427,0.0126,0.93757,0.85818,0.94277,0.69271,0.95266,0.51202,0.02447,0.0010364,0.0010364,0.0010364
148,5846.49,0.79103,0.55704,0.01234,0.8921,0.87619,0.90476,0.68264,0.90611,0.55241,0.02282,0.0010298,0.0010298,0.0010298
149,5885.29,0.78908,0.52106,0.01257,0.87027,0.89443,0.92929,0.66038,1.04614,0.54534,0.02772,0.0010232,0.0010232,0.0010232
150,5924.79,0.79877,0.53543,0.01266,0.90006,0.8381,0.91287,0.68614,0.97193,0.55405,0.02438,0.0010166,0.0010166,0.0010166
151,5963.42,0.76709,0.55995,0.01232,0.88974,0.84539,0.9202,0.68981,0.95265,0.59691,0.02418,0.00101,0.00101,0.00101
152,6002.72,0.76408,0.52391,0.01257,0.88778,0.82875,0.91871,0.67271,0.96283,0.54239,0.02379,0.0010034,0.0010034,0.0010034
153,6041.82,0.76851,0.54317,0.01247,0.90874,0.8381,0.91677,0.69464,0.9787,0.48885,0.02595,0.0009968,0.0009968,0.0009968
154,6081.55,0.77816,0.55793,0.01232,0.85643,0.8522,0.92057,0.70325,0.97436,0.5344,0.02449,0.0009902,0.0009902,0.0009902
155,6119.87,0.76247,0.53848,0.01256,0.89694,0.89524,0.94894,0.7008,1.05552,0.4875,0.02695,0.0009836,0.0009836,0.0009836
156,6159.49,0.77218,0.51982,0.01213,0.9084,0.87619,0.93906,0.69935,0.94107,0.51136,0.02365,0.000977,0.000977,0.000977
157,6197.93,0.76019,0.529,0.01239,0.87336,0.85714,0.92703,0.68339,0.99926,0.59566,0.0255,0.0009704,0.0009704,0.0009704
158,6237.55,0.76806,0.55201,0.01205,0.87593,0.87413,0.91889,0.68841,0.95748,0.52933,0.02316,0.0009638,0.0009638,0.0009638
159,6276.57,0.74089,0.51202,0.01186,0.89508,0.84762,0.91458,0.70135,0.95777,0.54504,0.02457,0.0009572,0.0009572,0.0009572
160,6316.59,0.75481,0.51988,0.01188,0.90869,0.85714,0.92066,0.67717,0.97802,0.59021,0.0247,0.0009506,0.0009506,0.0009506
161,6355.64,0.75443,0.51634,0.01199,0.90144,0.88571,0.92385,0.69402,0.97936,0.52165,0.0262,0.000944,0.000944,0.000944
162,6396.44,0.74266,0.51107,0.01159,0.90384,0.89524,0.92264,0.67998,1.00503,0.48864,0.02604,0.0009374,0.0009374,0.0009374
163,6435.61,0.75514,0.52171,0.0123,0.90615,0.8381,0.917,0.68031,0.93433,0.5215,0.02466,0.0009308,0.0009308,0.0009308
164,6476.04,0.76115,0.48036,0.01229,0.86106,0.87619,0.90426,0.68119,0.93251,0.59399,0.02413,0.0009242,0.0009242,0.0009242
165,6515.79,0.75451,0.50433,0.01224,0.88112,0.84709,0.91422,0.69569,0.978,0.56163,0.0246,0.0009176,0.0009176,0.0009176
166,6555.87,0.70935,0.46933,0.01117,0.91287,0.85714,0.90334,0.67439,0.95708,0.64468,0.02404,0.000911,0.000911,0.000911
167,6595.67,0.73452,0.5121,0.012,0.91514,0.82162,0.9062,0.68185,0.90772,0.49841,0.02241,0.0009044,0.0009044,0.0009044
168,6636.25,0.67575,0.45393,0.01042,0.8829,0.87619,0.9312,0.70825,0.9585,0.51107,0.02425,0.0008978,0.0008978,0.0008978
169,6675.42,0.75082,0.51375,0.01203,0.92607,0.83512,0.91943,0.69316,0.94712,0.57254,0.0246,0.0008912,0.0008912,0.0008912
170,6715.93,0.73658,0.46985,0.01208,0.93138,0.8381,0.92749,0.68986,0.9943,0.49916,0.02603,0.0008846,0.0008846,0.0008846
171,6755.23,0.71741,0.49298,0.01145,0.89832,0.85714,0.92086,0.70442,1.01236,0.48645,0.02616,0.000878,0.000878,0.000878
