epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3855.57,1.05904,0.97864,1.28948,0.74168,0.34286,0.34672,0.25547,1.15675,0.95147,1.28729,0.0015314,0.0015314,0.0015314
73,3906.97,1.06828,0.96524,1.28203,0.81132,0.33571,0.35124,0.26095,1.15244,0.91531,1.29188,0.0015248,0.0015248,0.0015248
74,3959.4,1.06349,0.97875,1.27373,0.80776,0.33095,0.35168,0.26399,1.16434,0.93858,1.31348,0.0015182,0.0015182,0.0015182
75,4014.6,1.04173,0.94463,1.27228,0.80814,0.33096,0.34691,0.2545,1.16587,0.94688,1.31694,0.0015116,0.0015116,0.0015116
76,4066.53,1.04018,0.93918,1.27005,0.8615,0.311,0.34469,0.25749,1.13047,0.91811,1.3082,0.001505,0.001505,0.001505
77,4117.63,1.04874,0.92638,1.27315,0.78247,0.33333,0.3561,0.27117,1.0857,0.83807,1.24031,0.0014984,0.0014984,0.0014984
78,4174.31,1.03246,0.89831,1.2693,0.89754,0.33372,0.35589,0.27128,1.13118,0.8668,1.25076,0.0014918,0.0014918,0.0014918
79,4229.91,1.02723,0.93644,1.2589,0.84037,0.33333,0.35297,0.26473,1.1676,0.92193,1.28483,0.0014852,0.0014852,0.0014852
80,4281.16,0.99208,0.90701,1.24772,0.73556,0.32857,0.34139,0.25965,1.15551,0.9454,1.29645,0.0014786,0.0014786,0.0014786
81,4332.96,1.00927,0.90565,1.24043,0.79977,0.33287,0.34646,0.26139,1.17022,0.92427,1.29218,0.001472,0.001472,0.001472
82,4384.28,0.99614,0.91603,1.22474,0.75866,0.33095,0.35191,0.26459,1.16097,0.91686,1.31442,0.0014654,0.0014654,0.0014654
83,4438.99,1.02111,0.93272,1.26936,0.78344,0.32381,0.34179,0.24863,1.19498,1.00711,1.31308,0.0014588,0.0014588,0.0014588
84,4491.33,1.03336,0.92332,1.2486,0.81039,0.32564,0.34327,0.25587,1.19371,0.96171,1.31967,0.0014522,0.0014522,0.0014522
85,4542.79,1.02996,0.90151,1.24572,0.82507,0.32567,0.35284,0.26386,1.11376,0.91289,1.24077,0.0014456,0.0014456,0.0014456
86,4594.81,0.96796,0.86029,1.22013,0.82634,0.33571,0.35084,0.26123,1.16265,0.91853,1.3052,0.001439,0.001439,0.001439
87,4646.06,1.0213,0.90153,1.26564,0.82583,0.33868,0.35527,0.26811,1.11938,0.86365,1.28508,0.0014324,0.0014324,0.0014324
88,4698.3,0.99378,0.87822,1.24738,0.78158,0.33333,0.34968,0.26646,1.11742,0.90977,1.26563,0.0014258,0.0014258,0.0014258
89,4750.04,1.00142,0.89599,1.23472,0.83567,0.32692,0.34661,0.25562,1.21045,0.91745,1.35495,0.0014192,0.0014192,0.0014192
90,4802.71,0.96579,0.86573,1.21008,0.81164,0.33856,0.36002,0.27121,1.12593,0.85286,1.28429,0.0014126,0.0014126,0.0014126
